#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:50:47', checksum=2941869603, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
0,6.95560E+04,7.22912E+04,0.00000E+00,7.87553E+03,0,0,1
1,1.01961E+05,1.05131E+05,0.00000E+00,2.17374E+04,0,1,1
2,7.31906E+04,1.11816E+05,0.00000E+00,7.05205E+03,0,2,1
3,1.29914E+05,1.46049E+05,5.52017E-05,5.62132E+04,0,3,1
4,1.79448E+05,1.83075E+05,0.00000E+00,3.01224E+04,0,4,1
5,4.92574E+05,6.81574E+05,2.58100E-05,1.14955E+05,0,5,1
6,7.34655E+04,9.48733E+04,0.00000E+00,7.81010E+03,0,6,1
7,3.44582E+05,5.43779E+05,2.34536E-04,1.33774E+05,0,7,1
8,8.34505E+04,1.09933E+05,0.00000E+00,1.92174E+04,0,8,1
9,4.78184E+04,6.21420E+04,0.00000E+00,1.77210E+04,1,9,1
10,1.84039E+05,2.04811E+05,9.52000E-06,5.18050E+04,1,10,1
11,1.68152E+05,3.39755E+05,6.27120E-05,6.01663E+04,1,10,1
12,2.65101E+05,3.23530E+05,2.65323E-05,8.05110E+04,1,11,1
13,1.84482E+05,2.56844E+05,2.09707E-06,4.54927E+04,0,12,1
14,8.04454E+05,1.34431E+06,2.56601E-04,3.82935E+05,0,12,1
15,4.08732E+04,4.18658E+04,0.00000E+00,7.91393E+03,0,13,1
16,4.83871E+04,5.28087E+04,0.00000E+00,1.53066E+03,0,14,1
17,9.22609E+04,7.97912E+04,0.00000E+00,2.28286E+04,0,15,1
18,6.32310E+05,9.86475E+05,9.76962E-05,2.69668E+05,0,16,1
19,1.93819E+05,3.12559E+05,1.00376E-04,6.23453E+04,0,17,1
20,2.36317E+04,2.65300E+04,0.00000E+00,7.72178E+03,0,17,1
21,2.29485E+05,4.61023E+05,7.83872E-06,9.64075E+04,0,18,1
22,3.14951E+05,3.40275E+05,0.00000E+00,5.94235E+04,0,18,1
23,2.27768E+04,3.53287E+04,1.40506E-04,4.87858E+02,0,18,1
24,7.27543E+04,6.48709E+04,0.00000E+00,1.90982E+04,0,19,1
26,4.28061E+04,5.62139E+04,0.00000E+00,1.08108E+04,1,21,1
27,1.35174E+05,1.14217E+05,0.00000E+00,3.28656E+04,1,21,1
28,3.21383E+05,3.19103E+05,0.00000E+00,5.85697E+04,1,22,1
29,2.80102E+04,4.13618E+04,0.00000E+00,2.52227E+03,1,22,1
30,1.15888E+04,1.10171E+04,0.00000E+00,1.45030E+03,1,22,1
31,6.37609E+04,8.28792E+04,0.00000E+00,1.23978E+04,1,23,1
32,4.89121E+04,4.52479E+04,0.00000E+00,2.13134E+03,1,24,1
33,3.10282E+05,3.64029E+05,0.00000E+00,7.01466E+04,1,24,1
34,7.39482E+04,7.95335E+04,0.00000E+00,2.78830E+03,1,24,1
35,5.21418E+05,6.75029E+05,0.00000E+00,1.37055E+05,1,25,1
36,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,26,1
37,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,26,1
38,1.61720E+03,1.16396E+03,0.00000E+00,3.57450E+03,0,26,1
39,4.41606E+03,3.17011E+03,0.00000E+00,0.00000E+00,0,27,1
41,7.60445E+04,5.91009E+04,0.00000E+00,2.18679E+04,0,27,1
42,2.60079E+03,1.87619E+03,0.00000E+00,0.00000E+00,0,28,1
43,2.31255E+00,1.41345E+03,0.00000E+00,1.84361E+02,0,28,1
44,0.00000E+00,0.00000E+00,0.00000E+00,5.85154E+03,0,28,1
45,0.00000E+00,0.00000E+00,0.00000E+00,6.22706E+03,0,29,1
46,2.15954E+01,1.37872E+04,0.00000E+00,6.57079E+03,0,29,1
47,9.87500E+02,1.73744E+03,0.00000E+00,3.99635E+02,0,29,1
49,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,29,1
50,0.00000E+00,0.00000E+00,0.00000E+00,2.18109E+02,0,30,1
51,0.00000E+00,0.00000E+00,0.00000E+00,2.64570E+03,0,30,1
52,0.00000E+00,0.00000E+00,0.00000E+00,1.42825E+02,0,30,1
53,1.16121E+01,5.87974E+03,0.00000E+00,1.71420E+03,0,31,1
54,1.11275E+03,1.14721E+03,0.00000E+00,0.00000E+00,0,32,1
56,0.00000E+00,0.00000E+00,0.00000E+00,2.86828E+02,0,33,1
57,9.31013E+02,9.55696E+02,0.00000E+00,0.00000E+00,0,33,1
58,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,33,1
59,0.00000E+00,0.00000E+00,0.00000E+00,4.90920E+03,0,34,1
60,0.00000E+00,0.00000E+00,0.00000E+00,3.42840E+03,0,34,1
61,0.00000E+00,0.00000E+00,0.00000E+00,1.82740E+02,0,35,1
68,4.36638E+00,2.09887E+03,0.00000E+00,3.43845E+02,0,38,1
75,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,39,1
76,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,39,1
84,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,41,1
85,0.00000E+00,0.00000E+00,0.00000E+00,3.67114E+02,0,42,1
86,0.00000E+00,0.00000E+00,0.00000E+00,3.17434E+03,0,42,1
88,7.55685E+02,7.94958E+02,0.00000E+00,0.00000E+00,0,43,1
89,5.30822E+02,3.82219E+02,0.00000E+00,7.64514E+02,0,43,1
90,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,43,1
91,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,43,1
92,9.75859E+03,1.59215E+04,0.00000E+00,6.60514E+02,0,43,1
93,1.96995E+03,1.42000E+03,0.00000E+00,0.00000E+00,0,44,1
94,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,44,1
